iter	RMSE
0	0.259164922
1	0.2590706657
2	0.2589368333
3	0.2588344567
4	0.2587161015
5	0.2586157645
6	0.2584945821
7	0.2583809576
8	0.2582641438
9	0.2581313544
10	0.2580328864
11	0.2579127342
12	0.2577836607
13	0.2576495577
14	0.2575283398
15	0.2574225762
16	0.2573015885
17	0.2571640977
18	0.2570208007
19	0.2569133709
20	0.256786984
21	0.2566736999
22	0.2565255192
23	0.2563739306
24	0.256138381
25	0.2560337629
26	0.2559258098
27	0.2557892398
28	0.2556618735
29	0.2555470043
30	0.2554315485
31	0.25527869
32	0.2551633231
33	0.255053504
34	0.25491884
35	0.2547961584
36	0.2546535664
37	0.2545581042
38	0.2544253304
39	0.2542892337
40	0.254145449
41	0.2540523623
42	0.253964898
43	0.2538752933
44	0.2537733446
45	0.2536585375
46	0.2535088573
47	0.2533791148
48	0.2532658297
49	0.2531664337
50	0.2530247664
51	0.2529350763
52	0.2528053911
53	0.2526993943
54	0.2526197264
55	0.2525175561
56	0.2524038724
57	0.2522760331
58	0.2520913939
59	0.2519973662
60	0.2518755948
61	0.2517748802
62	0.2516659757
63	0.2515450242
64	0.2513975479
65	0.2512987927
66	0.2511912861
67	0.251104094
68	0.2509720734
69	0.2508657215
70	0.2507282123
71	0.2506112436
72	0.2505181961
73	0.2504225103
74	0.2503231728
75	0.2501704642
76	0.2499914666
77	0.2498829219
78	0.2497675974
79	0.2496565502
80	0.2495550621
81	0.2494586932
82	0.2493752035
83	0.2492221297
84	0.2491155474
85	0.2490025378
86	0.2489046217
87	0.2487841275
88	0.2486580892
89	0.2485231872
90	0.2483740397
91	0.2482625142
92	0.248133841
93	0.2480144631
94	0.2479108035
95	0.2477209066
96	0.2475917642
97	0.2474786216
98	0.2473810177
99	0.2472399868
100	0.2471391648
101	0.2470384912
102	0.2468988289
103	0.2467665725
104	0.2466599364
105	0.2465606173
106	0.2464670433
107	0.2463461319
108	0.2462428965
109	0.246136491
110	0.246010532
111	0.2458839039
112	0.2457736613
113	0.2456621024
114	0.2455713541
115	0.2454704576
116	0.2453776872
117	0.2452898942
118	0.2451763643
119	0.2450736008
120	0.2449902505
121	0.2448511673
122	0.2447440399
123	0.2446407066
124	0.2445148613
125	0.2444033569
126	0.2443155505
127	0.2442246716
128	0.2441020256
129	0.2439428146
130	0.2438154533
131	0.243675117
132	0.2434878543
133	0.2433806205
134	0.2432592985
135	0.2431652669
136	0.2430730353
137	0.2429542239
138	0.2428440623
139	0.2427520653
140	0.2426536598
141	0.2425430373
142	0.242415824
143	0.2423181846
144	0.2421717003
145	0.2420632206
146	0.241938459
147	0.2418000339
148	0.2416544375
149	0.2415047357
150	0.2414023022
151	0.2413052516
152	0.2412023692
153	0.2410668951
154	0.2409530949
155	0.2408692157
156	0.2406991318
157	0.2406106123
158	0.2404377018
159	0.2403310732
160	0.240229742
161	0.2401195073
162	0.2400162143
163	0.2398892642
164	0.2397959192
165	0.2396663357
166	0.2395325544
167	0.2393989039
168	0.2392845982
169	0.2391933942
170	0.2390756241
171	0.2389300122
172	0.238814919
173	0.2387076578
174	0.2385962188
175	0.2385016601
