iter	Passed	Remaining
0	1	276
1	2	231
2	3	215
3	4	213
4	6	212
5	7	207
6	8	202
7	9	198
8	10	186
9	11	186
10	12	184
11	13	185
12	14	184
13	15	184
14	16	177
15	17	176
16	18	171
17	19	170
18	19	163
19	20	161
20	21	160
21	22	160
22	23	158
23	24	153
24	24	148
25	25	148
26	26	147
27	27	147
28	28	146
29	29	145
30	30	144
31	31	140
32	32	139
33	33	139
34	34	139
35	35	138
36	36	137
37	37	136
38	38	136
39	39	134
40	40	132
41	40	129
42	41	128
43	42	127
44	43	127
45	44	126
46	46	126
47	47	125
48	48	124
49	49	124
50	50	123
51	51	123
52	53	123
53	54	122
54	55	121
55	56	120
56	57	119
57	58	119
58	59	118
59	60	117
60	62	116
61	62	115
62	64	114
63	65	114
64	66	113
65	67	112
66	68	111
67	69	110
68	70	108
69	71	107
70	72	107
71	72	105
72	74	104
73	75	104
74	76	103
75	77	102
76	77	100
77	79	99
78	80	98
79	81	97
80	82	96
81	83	95
82	84	95
83	86	94
84	87	93
85	87	91
86	88	90
87	89	89
88	90	88
89	91	87
90	92	86
91	93	85
92	94	84
93	96	83
94	96	82
95	97	81
96	98	80
97	99	79
98	100	78
99	101	77
100	102	76
101	103	75
102	104	74
103	106	73
104	107	72
105	108	71
106	109	70
107	110	69
108	111	68
109	112	67
110	113	66
111	114	65
112	114	64
113	116	63
114	117	62
115	117	61
116	119	60
117	120	59
118	121	58
119	122	56
120	123	55
121	123	54
122	124	53
123	125	52
124	126	51
125	127	50
126	128	49
127	129	48
128	130	47
129	131	46
130	132	45
131	132	44
132	133	43
133	134	42
134	135	41
135	136	40
136	137	39
137	138	38
138	139	37
139	140	36
140	141	35
141	142	34
142	142	32
143	143	31
144	144	30
145	145	29
146	146	28
147	146	27
148	147	26
149	147	25
150	148	24
151	149	23
152	150	22
153	151	21
154	152	20
155	153	19
156	153	18
157	154	17
158	155	16
159	156	15
160	157	14
161	158	13
162	159	12
163	160	11
164	161	10
165	162	9
166	162	8
167	163	7
168	164	6
169	165	5
170	166	4
171	167	3
172	169	2
173	170	1
174	171	0
175	172	0
